transaction_id	items
1	Orange Juice,Apple,Hard Salami,Provolone Cheese,Popcorn,Eggs,Batteries,Toothpaste,Yogurt
2	Toothpaste
3	Sprite,Pear,Apple,Hot Pocket,Sliced Ham,Provolone Cheese,Eggs,Tylenol,Yogurt
4	Banana,Hot Pocket,Hungry Man,Provolone Cheese,Bread,Coffee,Rice,Batteries,Tylenol,Yogurt
5	Grape,Lemon,Hot Pocket,Milk,Batteries
6	Pear,Meatlovers Pizza,Butter,Batteries
7	Fanta,Apple,Grape,Hot Pocket,Sliced Ham,Italian Sub,Toothpaste,Yogurt
8	Fanta,Grape
9	Apple Juice,Muenster Cheese,Milk,Coffee,Butter,Yogurt
10	Classic Coke,Fanta,Apple Juice,Grape,Hot Pocket,Rice,Eggs,Toothpaste
11	Classic Coke,Apple Juice,Hot Pocket,Toothpaste
12	Classic Coke,Yogurt
13	Classic Coke,Fanta,Hungry Man,Sliced Ham,Hard Salami,Provolone Cheese,Rice,Italian Sub,Batteries
14	Lemon,Banana,Milk,Rice,Batteries
15	Orange Juice,Hot Pocket,Meatlovers Pizza,Milk,Coffee,Popcorn,Eggs
16	Orange Juice,Apple,Meatlovers Pizza,Sliced Ham,Provolone Cheese,Coffee,Popcorn,Batteries,Shampoo,Tylenol
17	Hard Salami
18	Classic Coke,Grape,Hungry Man,Hard Salami,Bread,Milk,Coffee,Rice,Italian Sub,Shampoo
19	Sprite,Fanta,Hot Pocket,Provolone Cheese,Rice,Popcorn,Toothpaste
20	Lemon,Hot Pocket,Meatlovers Pizza,Sliced Ham
